long,lat
13.367483,52.625591
13.36798,52.624508
13.369152,52.623688
13.370379,52.622547
13.371253,52.621536
13.372181,52.620316
13.372944,52.619209
13.373733,52.618088
13.37441,52.617096
13.375331,52.615891
13.376195,52.61475
13.376884,52.61385
13.378124,52.612232
13.377829,52.609974
13.377035,52.608547
13.37631,52.607128
13.375884,52.60545
13.374403,52.603882
13.373424,52.602459
13.372014,52.600922
13.370777,52.599373
13.369203,52.597851
13.367068,52.596512
13.365452,52.594982
13.363559,52.593193
13.361633,52.591797
13.358699,52.591042
13.354445,52.590782
13.351015,52.590637
13.347632,52.59
13.350821,52.588417
13.353686,52.586834
13.355749,52.585625
13.358648,52.583931
13.361212,52.582588
13.362851,52.581642
13.365426,52.580482
13.368422,52.578739
13.371673,52.577023
13.376962,52.574066
13.374221,52.575638
13.380031,52.572479
13.382187,52.571449
13.384942,52.571342
13.387747,52.569839
13.390499,52.56834
13.389716,52.566895
13.391934,52.565605
13.394324,52.563927
13.395703,52.562004
13.397191,52.560051
13.397336,52.557732
13.397084,52.554913
13.399184,52.552673
13.399651,52.550884
13.40023,52.549206
13.40066,52.548317
13.400939,52.547298
13.401368,52.546284
13.402559,52.543964
13.403052,52.542908
13.40361,52.541721
13.403857,52.540333
13.402258,52.540031
13.400359,52.539433
13.398911,52.539066
13.397462,52.538616
13.395778,52.538147
13.394008,52.537498
13.392634,52.537064
13.391132,52.535816
13.389781,52.53521
13.388751,52.534248
13.38756,52.533466
13.386004,52.534473
13.38491,52.535484
13.383837,52.536449
13.382828,52.537094
13.381938,52.538086
13.380983,52.538845
13.380404,52.539646
13.379245,52.540005
13.377914,52.539093
13.376284,52.538059
13.374503,52.537148
13.373237,52.538029
13.371778,52.537251
13.370533,52.536507
13.368688,52.535763
13.367529,52.536392
13.366971,52.535606
13.36798,52.534641
13.36916,52.533466
13.369911,52.532501
13.37093,52.53149
13.371477,52.530399
13.372443,52.529369
13.373258,52.528675
13.374202,52.527802
13.374417,52.527161
13.374031,52.525986
13.373709,52.524837
13.373644,52.523521
13.374932,52.522984
13.376284,52.522266
13.376691,52.521275
13.37712,52.520264
13.378268,52.519566
13.380178,52.519493
13.379384,52.518818
13.377829,52.519001
13.377142,52.518494
13.377035,52.517616
13.377228,52.516823
13.376713,52.516037
13.377442,52.515018
13.37755,52.514301
13.377228,52.51366
13.377335,52.512772
13.377142,52.511742
13.37667,52.510372
13.376541,52.509624
13.376986,52.508591
13.377882,52.507877
13.378998,52.506996
13.380672,52.507126
13.382512,52.507236
13.383923,52.507328
13.385543,52.507328
13.386991,52.507431
13.388686,52.507549
13.390328,52.507614
13.392248,52.507694
13.394147,52.507816
13.395789,52.507915
13.397237,52.508034
13.399072,52.508091
13.39993,52.509354
13.401121,52.50909
13.402419,52.508629
13.403835,52.50808
13.405262,52.508179
13.406163,52.507519
13.406936,52.506905
13.407998,52.506218
13.408931,52.506523
13.41009,52.506775
13.410745,52.505978
13.411582,52.504822
13.413084,52.504375
13.414274,52.503971
13.415208,52.504414
13.416828,52.504185
13.418598,52.50486
13.419456,52.505642
13.420776,52.505272
13.422149,52.50502
13.423791,52.505005
13.425186,52.505253
13.426677,52.505722
13.427546,52.506336
13.428233,52.507328
13.428715,52.508537
13.429477,52.509403
13.430636,52.509045
13.431666,52.508587
13.432996,52.507969
13.434155,52.50742
13.435453,52.50679
13.436537,52.506203
13.437545,52.505722
13.438747,52.505119
13.440099,52.504505
13.441622,52.504047
13.458381,52.485798
13.442974,52.503605
13.444262,52.503254
13.445592,52.502926
13.446772,52.50256
13.447952,52.502277
13.44924,52.502018
13.450677,52.501579
13.452008,52.501339
13.453285,52.500927
13.45469,52.500484
13.456321,52.500011
13.455795,52.497158
13.45439,52.497379
13.452802,52.497375
13.451343,52.497112
13.450334,52.496353
13.449326,52.495792
13.448446,52.495129
13.447223,52.494553
13.445463,52.494461
13.444659,52.493984
13.444047,52.493481
13.443274,52.492882
13.442545,52.492252
13.441622,52.491508
13.440893,52.49091
13.440077,52.490334
13.440002,52.489475
13.44115,52.488934
13.442073,52.488457
13.44336,52.487839
13.444369,52.487408
13.445356,52.488087
13.446214,52.488655
13.447706,52.488537
13.448746,52.488007
13.449894,52.487511
13.451139,52.486858
13.452244,52.48629
13.453606,52.485538
13.454862,52.484924
13.455977,52.484112
13.457093,52.484871
13.458821,52.48534
13.459904,52.484631
13.461449,52.483715
13.462844,52.482544
13.464239,52.481689
13.465226,52.480984
13.466245,52.480289
13.467125,52.479675
13.467983,52.479042
13.468895,52.478409
13.469753,52.47781
13.470526,52.477264
13.471298,52.476646
13.470858,52.476162
13.470665,52.475441
13.470461,52.474781
13.470258,52.474277
13.470193,52.473835
13.470644,52.473324
13.470869,52.472782
13.471202,52.47224
13.471706,52.471802
13.472435,52.471397
13.473047,52.470856
13.473626,52.470207
13.474131,52.469448
13.474624,52.468678
13.475708,52.468098
13.476083,52.467594
13.477092,52.466866
13.477757,52.466022
13.478701,52.464848
13.478851,52.463711
13.478014,52.462482
13.476963,52.461567
13.476405,52.460899
13.475826,52.460148
13.475268,52.459232
13.475332,52.458736
13.473347,52.458736
13.470869,52.458794
13.468798,52.458874
13.466309,52.458893
13.464174,52.4589
13.46175,52.458965
13.459228,52.459129
13.457597,52.458748
13.45837,52.457573
13.459185,52.456463
13.460054,52.455265
13.460838,52.453983
13.461803,52.45261
13.462983,52.45121
13.464153,52.450245
13.465247,52.449451
13.466771,52.448643
13.468337,52.447887
13.4703,52.446915
13.471931,52.446098
13.473873,52.445164
13.47545,52.444435
13.477253,52.443535
13.47898,52.442703
13.480933,52.441727
13.482574,52.440964
13.484377,52.440121
13.48575,52.439465
13.487456,52.438637
13.488786,52.437969
13.49017,52.437283
13.491672,52.436546
13.493292,52.435757
13.494676,52.435108
13.496125,52.434437
13.498067,52.433456
13.499955,52.432526
13.501779,52.431656
13.50342,52.430851
13.504922,52.430084
13.506339,52.429508
13.50842,52.428719
13.510416,52.428032
13.512132,52.427586
13.514278,52.427299
13.516864,52.427017
13.518827,52.426853
13.520125,52.426167
13.521177,52.425243
13.521606,52.424236
13.521563,52.42308
13.521391,52.421848
13.521466,52.420639
13.522164,52.418903
13.522668,52.417595
13.522915,52.416359
13.523172,52.415215
13.523333,52.413773
13.523355,52.412079
13.523097,52.410896
13.522722,52.409763
13.52211,52.408356
13.521638,52.407425
13.520919,52.406189
13.519911,52.405396
13.5199,52.404488
13.519256,52.403591
13.518333,52.402752
13.517014,52.401829
13.514289,52.400948
13.511617,52.40073
13.509804,52.400436
13.507444,52.400116
13.505373,52.399879
